page_id,block,writer_id,content_id,condition,purpose
COPY-G03-10,書き写し,G03,U0539,copy,字形供給
COPY-G03-11,書き写し,G03,U0752,copy,字形供給
COPY-G03-12,書き写し,G03,U0312,copy,字形供給
COPY-G03-13,書き写し,G03,U0145,copy,字形供給
COPY-G03-14,書き写し,G03,U0440,copy,字形供給
COPY-G03-15,書き写し,G03,U0897,copy,字形供給
COPY-G04-01,書き写し,G04,U0566,copy,字形供給
COPY-G04-02,書き写し,G04,U0782,copy,字形供給
COPY-G04-03,書き写し,G04,U0164,copy,字形供給
COPY-G04-04,書き写し,G04,U0640,copy,字形供給
COPY-G04-05,書き写し,G04,U0154,copy,字形供給
COPY-G04-06,書き写し,G04,U0285,copy,字形供給
COPY-G04-07,書き写し,G04,U0879,copy,字形供給
COPY-G04-08,書き写し,G04,U0193,copy,字形供給
COPY-G04-09,書き写し,G04,U0633,copy,字形供給
COPY-G04-10,書き写し,G04,U0744,copy,字形供給
COPY-G04-11,書き写し,G04,U0707,copy,字形供給
COPY-G04-12,書き写し,G04,U0260,copy,字形供給
COPY-G04-13,書き写し,G04,U0429,copy,字形供給
COPY-G04-14,書き写し,G04,U0293,copy,字形供給
COPY-G04-15,書き写し,G04,U0765,copy,字形供給
COPY-G05-01,書き写し,G05,U0197,copy,字形供給
COPY-G05-02,書き写し,G05,U0831,copy,字形供給
COPY-G05-03,書き写し,G05,U0460,copy,字形供給
COPY-G05-04,書き写し,G05,U0586,copy,字形供給
COPY-G05-05,書き写し,G05,U0514,copy,字形供給
COPY-G05-06,書き写し,G05,U0269,copy,字形供給
COPY-G05-07,書き写し,G05,U0032,copy,字形供給
COPY-G05-08,書き写し,G05,U0257,copy,字形供給
COPY-G05-09,書き写し,G05,U0443,copy,字形供給
COPY-G05-10,書き写し,G05,U0117,copy,字形供給
COPY-G05-11,書き写し,G05,U0791,copy,字形供給
COPY-G05-12,書き写し,G05,U0264,copy,字形供給
COPY-G05-13,書き写し,G05,U0531,copy,字形供給
COPY-G05-14,書き写し,G05,U0785,copy,字形供給
COPY-G05-15,書き写し,G05,U0279,copy,字形供給
COPY-G06-01,書き写し,G06,U0597,copy,字形供給
COPY-G06-02,書き写し,G06,U0251,copy,字形供給
COPY-G06-03,書き写し,G06,U0090,copy,字形供給
COPY-G06-04,書き写し,G06,U0082,copy,字形供給
COPY-G06-05,書き写し,G06,U0124,copy,字形供給
COPY-G06-06,書き写し,G06,U0233,copy,字形供給
COPY-G06-07,書き写し,G06,U0735,copy,字形供給
COPY-G06-08,書き写し,G06,U0009,copy,字形供給
COPY-G06-09,書き写し,G06,U0625,copy,字形供給
COPY-G06-10,書き写し,G06,U0712,copy,字形供給
COPY-G06-11,書き写し,G06,U0492,copy,字形供給
COPY-G06-12,書き写し,G06,U0160,copy,字形供給
COPY-G06-13,書き写し,G06,U0034,copy,字形供給
COPY-G06-14,書き写し,G06,U0322,copy,字形供給
COPY-G06-15,書き写し,G06,U0646,copy,字形供給
COPY-G07-01,書き写し,G07,U0764,copy,字形供給
COPY-G07-02,書き写し,G07,U0050,copy,字形供給
COPY-G07-03,書き写し,G07,U0725,copy,字形供給
COPY-G07-04,書き写し,G07,U0135,copy,字形供給
COPY-G07-05,書き写し,G07,U0753,copy,字形供給
COPY-G07-06,書き写し,G07,U0494,copy,字形供給
COPY-G07-07,書き写し,G07,U0342,copy,字形供給
COPY-G07-08,書き写し,G07,U0252,copy,字形供給
COPY-G07-09,書き写し,G07,U0792,copy,字形供給
COPY-G07-10,書き写し,G07,U0326,copy,字形供給
COPY-G07-11,書き写し,G07,U0413,copy,字形供給
COPY-G07-12,書き写し,G07,U0692,copy,字形供給
COPY-G07-13,書き写し,G07,U0266,copy,字形供給
COPY-G07-14,書き写し,G07,U0728,copy,字形供給
COPY-G07-15,書き写し,G07,U0618,copy,字形供給
COPY-G08-01,書き写し,G08,U0654,copy,字形供給
COPY-G08-02,書き写し,G08,U0778,copy,字形供給
COPY-G08-03,書き写し,G08,U0567,copy,字形供給
COPY-G08-04,書き写し,G08,U0101,copy,字形供給
COPY-G08-05,書き写し,G08,U0212,copy,字形供給
COPY-G08-06,書き写し,G08,U0609,copy,字形供給
COPY-G08-07,書き写し,G08,U0838,copy,字形供給
COPY-G08-08,書き写し,G08,U0271,copy,字形供給
COPY-G08-09,書き写し,G08,U0686,copy,字形供給
COPY-G08-10,書き写し,G08,U0732,copy,字形供給
COPY-G08-11,書き写し,G08,U0286,copy,字形供給
COPY-G08-12,書き写し,G08,U0224,copy,字形供給
COPY-G08-13,書き写し,G08,U0660,copy,字形供給
COPY-G08-14,書き写し,G08,U0556,copy,字形供給
COPY-G08-15,書き写し,G08,U0189,copy,字形供給
COPY-G09-01,書き写し,G09,U0667,copy,字形供給
COPY-G09-02,書き写し,G09,U0731,copy,字形供給
COPY-G09-03,書き写し,G09,U0827,copy,字形供給
COPY-G09-04,書き写し,G09,U0066,copy,字形供給
COPY-G09-05,書き写し,G09,U0894,copy,字形供給
COPY-G09-06,書き写し,G09,U0610,copy,字形供給
COPY-G09-07,書き写し,G09,U0521,copy,字形供給
COPY-G09-08,書き写し,G09,U0843,copy,字形供給
COPY-G09-09,書き写し,G09,U0585,copy,字形供給
COPY-G09-10,書き写し,G09,U0209,copy,字形供給
COPY-G09-11,書き写し,G09,U0604,copy,字形供給
COPY-G09-12,書き写し,G09,U0666,copy,字形供給
COPY-G09-13,書き写し,G09,U0176,copy,字形供給
COPY-G09-14,書き写し,G09,U0319,copy,字形供給
COPY-G09-15,書き写し,G09,U0122,copy,字形供給
COPY-G10-01,書き写し,G10,U0244,copy,字形供給
COPY-G10-02,書き写し,G10,U0709,copy,字形供給
COPY-G10-03,書き写し,G10,U0358,copy,字形供給
COPY-G10-04,書き写し,G10,U0414,copy,字形供給
COPY-G10-05,書き写し,G10,U0876,copy,字形供給
COPY-G10-06,書き写し,G10,U0137,copy,字形供給
COPY-G10-07,書き写し,G10,U0051,copy,字形供給
COPY-G10-08,書き写し,G10,U0755,copy,字形供給
COPY-G10-09,書き写し,G10,U0380,copy,字形供給
COPY-G10-10,書き写し,G10,U0333,copy,字形供給
COPY-G10-11,書き写し,G10,U0854,copy,字形供給
COPY-G10-12,書き写し,G10,U0794,copy,字形供給
COPY-G10-13,書き写し,G10,U0328,copy,字形供給
COPY-G10-14,書き写し,G10,U0203,copy,字形供給
COPY-G10-15,書き写し,G10,U0278,copy,字形供給
COPY-G11-01,書き写し,G11,U0181,copy,字形供給
COPY-G11-02,書き写し,G11,U0805,copy,字形供給
COPY-G11-03,書き写し,G11,U0400,copy,字形供給
COPY-G11-04,書き写し,G11,U0457,copy,字形供給
COPY-G11-05,書き写し,G11,U0350,copy,字形供給
COPY-G11-06,書き写し,G11,U0265,copy,字形供給
COPY-G11-07,書き写し,G11,U0438,copy,字形供給
COPY-G11-08,書き写し,G11,U0513,copy,字形供給
COPY-G11-09,書き写し,G11,U0377,copy,字形供給
COPY-G11-10,書き写し,G11,U0083,copy,字形供給
COPY-G11-11,書き写し,G11,U0435,copy,字形供給
COPY-G11-12,書き写し,G11,U0834,copy,字形供給
COPY-G11-13,書き写し,G11,U0468,copy,字形供給
COPY-G11-14,書き写し,G11,U0434,copy,字形供給
COPY-G11-15,書き写し,G11,U0085,copy,字形供給
COPY-G12-01,書き写し,G12,U0560,copy,字形供給
COPY-G12-02,書き写し,G12,U0835,copy,字形供給
COPY-G12-03,書き写し,G12,U0304,copy,字形供給
COPY-G12-04,書き写し,G12,U0602,copy,字形供給
COPY-G12-05,書き写し,G12,U0177,copy,字形供給
COPY-G12-06,書き写し,G12,U0201,copy,字形供給
COPY-G12-07,書き写し,G12,U0356,copy,字形供給
COPY-G12-08,書き写し,G12,U0226,copy,字形供給
COPY-G12-09,書き写し,G12,U0820,copy,字形供給
COPY-G12-10,書き写し,G12,U0802,copy,字形供給
COPY-G12-11,書き写し,G12,U0267,copy,字形供給
COPY-G12-12,書き写し,G12,U0234,copy,字形供給
COPY-G12-13,書き写し,G12,U0423,copy,字形供給
COPY-G12-14,書き写し,G12,U0887,copy,字形供給
COPY-G12-15,書き写し,G12,U0542,copy,字形供給
COPY-G13-01,書き写し,G13,U0401,copy,字形供給
COPY-G13-02,書き写し,G13,U0317,copy,字形供給
COPY-G13-03,書き写し,G13,U0393,copy,字形供給
COPY-G13-04,書き写し,G13,U0649,copy,字形供給
COPY-G13-05,書き写し,G13,U0664,copy,字形供給
COPY-G13-06,書き写し,G13,U0741,copy,字形供給
COPY-G13-07,書き写し,G13,U0057,copy,字形供給
COPY-G13-08,書き写し,G13,U0280,copy,字形供給
COPY-G13-09,書き写し,G13,U0059,copy,字形供給
COPY-G13-10,書き写し,G13,U0008,copy,字形供給
COPY-G13-11,書き写し,G13,U0064,copy,字形供給
COPY-G13-12,書き写し,G13,U0215,copy,字形供給
COPY-G13-13,書き写し,G13,U0019,copy,字形供給
COPY-G13-14,書き写し,G13,U0381,copy,字形供給
COPY-G13-15,書き写し,G13,U0771,copy,字形供給
COPY-G14-01,書き写し,G14,U0606,copy,字形供給
COPY-G14-02,書き写し,G14,U0825,copy,字形供給
COPY-G14-03,書き写し,G14,U0465,copy,字形供給
COPY-G14-04,書き写し,G14,U0345,copy,字形供給
COPY-G14-05,書き写し,G14,U0483,copy,字形供給
COPY-G14-06,書き写し,G14,U0424,copy,字形供給
COPY-G14-07,書き写し,G14,U0762,copy,字形供給
COPY-G14-08,書き写し,G14,U0564,copy,字形供給
COPY-G14-09,書き写し,G14,U0489,copy,字形供給
COPY-G14-10,書き写し,G14,U0054,copy,字形供給
COPY-G14-11,書き写し,G14,U0115,copy,字形供給
COPY-G14-12,書き写し,G14,U0412,copy,字形供給
COPY-G14-13,書き写し,G14,U0715,copy,字形供給
COPY-G14-14,書き写し,G14,U0159,copy,字形供給
COPY-G14-15,書き写し,G14,U0426,copy,字形供給
COPY-G15-01,書き写し,G15,U0766,copy,字形供給
COPY-G15-02,書き写し,G15,U0357,copy,字形供給
COPY-G15-03,書き写し,G15,U0262,copy,字形供給
COPY-G15-04,書き写し,G15,U0864,copy,字形供給
COPY-G15-05,書き写し,G15,U0184,copy,字形供給
COPY-G15-06,書き写し,G15,U0816,copy,字形供給
COPY-G15-07,書き写し,G15,U0844,copy,字形供給
COPY-G15-08,書き写し,G15,U0397,copy,字形供給
COPY-G15-09,書き写し,G15,U0545,copy,字形供給
COPY-G15-10,書き写し,G15,U0476,copy,字形供給
COPY-G15-11,書き写し,G15,U0706,copy,字形供給
COPY-G15-12,書き写し,G15,U0287,copy,字形供給
COPY-G15-13,書き写し,G15,U0270,copy,字形供給
COPY-G15-14,書き写し,G15,U0847,copy,字形供給
COPY-G15-15,書き写し,G15,U0840,copy,字形供給
COPY-G16-01,書き写し,G16,U0870,copy,字形供給
COPY-G16-02,書き写し,G16,U0014,copy,字形供給
COPY-G16-03,書き写し,G16,U0002,copy,字形供給
COPY-G16-04,書き写し,G16,U0730,copy,字形供給
COPY-G16-05,書き写し,G16,U0594,copy,字形供給
COPY-G16-06,書き写し,G16,U0442,copy,字形供給
COPY-G16-07,書き写し,G16,U0829,copy,字形供給
COPY-G16-08,書き写し,G16,U0131,copy,字形供給
COPY-G16-09,書き写し,G16,U0781,copy,字形供給
COPY-G16-10,書き写し,G16,U0030,copy,字形供給
COPY-G16-11,書き写し,G16,U0198,copy,字形供給
COPY-G16-12,書き写し,G16,U0228,copy,字形供給
COPY-G16-13,書き写し,G16,U0583,copy,字形供給
COPY-G16-14,書き写し,G16,U0547,copy,字形供給
COPY-G16-15,書き写し,G16,U0078,copy,字形供給
COPY-G17-01,書き写し,G17,U0833,copy,字形供給
COPY-G17-02,書き写し,G17,U0674,copy,字形供給
COPY-G17-03,書き写し,G17,U0229,copy,字形供給
COPY-G17-04,書き写し,G17,U0472,copy,字形供給
COPY-G17-05,書き写し,G17,U0856,copy,字形供給
COPY-G17-06,書き写し,G17,U0021,copy,字形供給
COPY-G17-07,書き写し,G17,U0277,copy,字形供給
COPY-G17-08,書き写し,G17,U0096,copy,字形供給
COPY-G17-09,書き写し,G17,U0748,copy,字形供給
COPY-G17-10,書き写し,G17,U0813,copy,字形供給
COPY-G17-11,書き写し,G17,U0719,copy,字形供給
COPY-G17-12,書き写し,G17,U0668,copy,字形供給
COPY-G17-13,書き写し,G17,U0749,copy,字形供給
COPY-G17-14,書き写し,G17,U0811,copy,字形供給
COPY-G17-15,書き写し,G17,U0780,copy,字形供給
COPY-G18-01,書き写し,G18,U0622,copy,字形供給
COPY-G18-02,書き写し,G18,U0296,copy,字形供給
COPY-G18-03,書き写し,G18,U0232,copy,字形供給
COPY-G18-04,書き写し,G18,U0678,copy,字形供給
COPY-G18-05,書き写し,G18,U0168,copy,字形供給
COPY-G18-06,書き写し,G18,U0046,copy,字形供給
COPY-G18-07,書き写し,G18,U0313,copy,字形供給
COPY-G18-08,書き写し,G18,U0311,copy,字形供給
COPY-G18-09,書き写し,G18,U0103,copy,字形供給
COPY-G18-10,書き写し,G18,U0598,copy,字形供給
COPY-G18-11,書き写し,G18,U0136,copy,字形供給
COPY-G18-12,書き写し,G18,U0687,copy,字形供給
COPY-G18-13,書き写し,G18,U0563,copy,字形供給
COPY-G18-14,書き写し,G18,U0227,copy,字形供給
COPY-G18-15,書き写し,G18,U0452,copy,字形供給
COPY-G19-01,書き写し,G19,U0600,copy,字形供給
COPY-G19-02,書き写し,G19,U0862,copy,字形供給
COPY-G19-03,書き写し,G19,U0070,copy,字形供給
COPY-G19-04,書き写し,G19,U0388,copy,字形供給
COPY-G19-05,書き写し,G19,U0754,copy,字形供給
COPY-G19-06,書き写し,G19,U0861,copy,字形供給
COPY-G19-07,書き写し,G19,U0205,copy,字形供給
COPY-G19-08,書き写し,G19,U0799,copy,字形供給
COPY-G19-09,書き写し,G19,U0503,copy,字形供給
COPY-G19-10,書き写し,G19,U0716,copy,字形供給
COPY-G19-11,書き写し,G19,U0359,copy,字形供給
COPY-G19-12,書き写し,G19,U0853,copy,字形供給
COPY-G19-13,書き写し,G19,U0624,copy,字形供給
COPY-G19-14,書き写し,G19,U0478,copy,字形供給
COPY-G19-15,書き写し,G19,U0364,copy,字形供給
COPY-G20-01,書き写し,G20,U0171,copy,字形供給
COPY-G20-02,書き写し,G20,U0703,copy,字形供給
COPY-G20-03,書き写し,G20,U0456,copy,字形供給
COPY-G20-04,書き写し,G20,U0297,copy,字形供給
COPY-G20-05,書き写し,G20,U0507,copy,字形供給
COPY-G20-06,書き写し,G20,U0202,copy,字形供給
COPY-G20-07,書き写し,G20,U0541,copy,字形供給
COPY-G20-08,書き写し,G20,U0538,copy,字形供給
COPY-G20-09,書き写し,G20,U0033,copy,字形供給
COPY-G20-10,書き写し,G20,U0365,copy,字形供給
COPY-G20-11,書き写し,G20,U0044,copy,字形供給
COPY-G20-12,書き写し,G20,U0031,copy,字形供給
COPY-G20-13,書き写し,G20,U0015,copy,字形供給
COPY-G20-14,書き写し,G20,U0318,copy,字形供給
COPY-G20-15,書き写し,G20,U0634,copy,字形供給
COPY-E01-01,書き写し,E01,U0647,copy,評価専用
COPY-E01-02,書き写し,E01,U0130,copy,評価専用
COPY-E01-03,書き写し,E01,U0411,copy,評価専用
COPY-E01-04,書き写し,E01,U0214,copy,評価専用
COPY-E01-05,書き写し,E01,U0129,copy,評価専用
COPY-E01-06,書き写し,E01,U0043,copy,評価専用
COPY-E01-07,書き写し,E01,U0395,copy,評価専用
COPY-E01-08,書き写し,E01,U0619,copy,評価専用
COPY-E01-09,書き写し,E01,U0671,copy,評価専用
COPY-E01-10,書き写し,E01,U0775,copy,評価専用
COPY-E01-11,書き写し,E01,U0848,copy,評価専用
COPY-E01-12,書き写し,E01,U0241,copy,評価専用
COPY-E01-13,書き写し,E01,U0375,copy,評価専用
COPY-E01-14,書き写し,E01,U0294,copy,評価専用
COPY-E01-15,書き写し,E01,U0742,copy,評価専用
COPY-E02-01,書き写し,E02,U0488,copy,評価専用
COPY-E02-02,書き写し,E02,U0406,copy,評価専用
COPY-E02-03,書き写し,E02,U0415,copy,評価専用
COPY-E02-04,書き写し,E02,U0872,copy,評価専用
COPY-E02-05,書き写し,E02,U0631,copy,評価専用
COPY-E02-06,書き写し,E02,U0024,copy,評価専用
COPY-E02-07,書き写し,E02,U0770,copy,評価専用
COPY-E02-08,書き写し,E02,U0011,copy,評価専用
COPY-E02-09,書き写し,E02,U0419,copy,評価専用
COPY-E02-10,書き写し,E02,U0475,copy,評価専用
COPY-E02-11,書き写し,E02,U0555,copy,評価専用
COPY-E02-12,書き写し,E02,U0430,copy,評価専用
COPY-E02-13,書き写し,E02,U0040,copy,評価専用
COPY-E02-14,書き写し,E02,U0005,copy,評価専用
COPY-E02-15,書き写し,E02,U0486,copy,評価専用
COPY-E03-01,書き写し,E03,U0869,copy,評価専用
COPY-E03-02,書き写し,E03,U0165,copy,評価専用
COPY-E03-03,書き写し,E03,U0060,copy,評価専用
COPY-E03-04,書き写し,E03,U0471,copy,評価専用
COPY-E03-05,書き写し,E03,U0641,copy,評価専用
COPY-E03-06,書き写し,E03,U0611,copy,評価専用
COPY-E03-07,書き写し,E03,U0250,copy,評価専用
COPY-E03-08,書き写し,E03,U0559,copy,評価専用
COPY-E03-09,書き写し,E03,U0841,copy,評価専用
COPY-E03-10,書き写し,E03,U0850,copy,評価専用
COPY-E03-11,書き写し,E03,U0865,copy,評価専用
COPY-E03-12,書き写し,E03,U0273,copy,評価専用
COPY-E03-13,書き写し,E03,U0308,copy,評価専用
COPY-E03-14,書き写し,E03,U0373,copy,評価専用
COPY-E03-15,書き写し,E03,U0178,copy,評価専用
COPY-E04-01,書き写し,E04,U0578,copy,評価専用
COPY-E04-02,書き写し,E04,U0738,copy,評価専用
COPY-E04-03,書き写し,E04,U0113,copy,評価専用
COPY-E04-04,書き写し,E04,U0274,copy,評価専用
COPY-E04-05,書き写し,E04,U0883,copy,評価専用
COPY-E04-06,書き写し,E04,U0256,copy,評価専用
COPY-E04-07,書き写し,E04,U0818,copy,評価専用
COPY-E04-08,書き写し,E04,U0020,copy,評価専用
COPY-E04-09,書き写し,E04,U0505,copy,評価専用
COPY-E04-10,書き写し,E04,U0038,copy,評価専用
COPY-E04-11,書き写し,E04,U0041,copy,評価専用
COPY-E04-12,書き写し,E04,U0746,copy,評価専用
COPY-E04-13,書き写し,E04,U0084,copy,評価専用
COPY-E04-14,書き写し,E04,U0276,copy,評価専用
COPY-E04-15,書き写し,E04,U0372,copy,評価専用
COPY-E05-01,書き写し,E05,U0845,copy,評価専用
COPY-E05-02,書き写し,E05,U0648,copy,評価専用
COPY-E05-03,書き写し,E05,U0551,copy,評価専用
COPY-E05-04,書き写し,E05,U0740,copy,評価専用
COPY-E05-05,書き写し,E05,U0760,copy,評価専用
COPY-E05-06,書き写し,E05,U0387,copy,評価専用
COPY-E05-07,書き写し,E05,U0758,copy,評価専用
COPY-E05-08,書き写し,E05,U0315,copy,評価専用
COPY-E05-09,書き写し,E05,U0812,copy,評価専用
COPY-E05-10,書き写し,E05,U0157,copy,評価専用
COPY-E05-11,書き写し,E05,U0261,copy,評価専用
COPY-E05-12,書き写し,E05,U0330,copy,評価専用
COPY-E05-13,書き写し,E05,U0238,copy,評価専用
COPY-E05-14,書き写し,E05,U0523,copy,評価専用
COPY-E05-15,書き写し,E05,U0484,copy,評価専用
COPY-E06-01,書き写し,E06,U0102,copy,評価専用
COPY-E06-02,書き写し,E06,U0571,copy,評価専用
COPY-E06-03,書き写し,E06,U0769,copy,評価専用
COPY-E06-04,書き写し,E06,U0222,copy,評価専用
COPY-E06-05,書き写し,E06,U0807,copy,評価専用
COPY-E06-06,書き写し,E06,U0607,copy,評価専用
COPY-E06-07,書き写し,E06,U0249,copy,評価専用
COPY-E06-08,書き写し,E06,U0720,copy,評価専用
COPY-E06-09,書き写し,E06,U0323,copy,評価専用
COPY-E06-10,書き写し,E06,U0779,copy,評価専用
COPY-E06-11,書き写し,E06,U0125,copy,評価専用
COPY-E06-12,書き写し,E06,U0003,copy,評価専用
COPY-E06-13,書き写し,E06,U0106,copy,評価専用
COPY-E06-14,書き写し,E06,U0223,copy,評価専用
COPY-E06-15,書き写し,E06,U0192,copy,評価専用
COPY-E07-01,書き写し,E07,U0253,copy,評価専用
COPY-E07-02,書き写し,E07,U0592,copy,評価専用
COPY-E07-03,書き写し,E07,U0756,copy,評価専用
COPY-E07-04,書き写し,E07,U0337,copy,評価専用
COPY-E07-05,書き写し,E07,U0065,copy,評価専用
COPY-E07-06,書き写し,E07,U0074,copy,評価専用
COPY-E07-07,書き写し,E07,U0417,copy,評価専用
COPY-E07-08,書き写し,E07,U0344,copy,評価専用
COPY-E07-09,書き写し,E07,U0830,copy,評価専用
COPY-E07-10,書き写し,E07,U0822,copy,評価専用
COPY-E07-11,書き写し,E07,U0045,copy,評価専用
COPY-E07-12,書き写し,E07,U0696,copy,評価専用
COPY-E07-13,書き写し,E07,U0340,copy,評価専用
COPY-E07-14,書き写し,E07,U0826,copy,評価専用
COPY-E07-15,書き写し,E07,U0218,copy,評価専用
COPY-E08-01,書き写し,E08,U0804,copy,評価専用
COPY-E08-02,書き写し,E08,U0390,copy,評価専用
COPY-E08-03,書き写し,E08,U0299,copy,評価専用
COPY-E08-04,書き写し,E08,U0899,copy,評価専用
COPY-E08-05,書き写し,E08,U0126,copy,評価専用
COPY-E08-06,書き写し,E08,U0568,copy,評価専用
COPY-E08-07,書き写し,E08,U0520,copy,評価専用
COPY-E08-08,書き写し,E08,U0402,copy,評価専用
COPY-E08-09,書き写し,E08,U0710,copy,評価専用
COPY-E08-10,書き写し,E08,U0039,copy,評価専用
COPY-E08-11,書き写し,E08,U0819,copy,評価専用
COPY-E08-12,書き写し,E08,U0629,copy,評価専用
COPY-E08-13,書き写し,E08,U0895,copy,評価専用
COPY-E08-14,書き写し,E08,U0884,copy,評価専用
COPY-E08-15,書き写し,E08,U0680,copy,評価専用
COPY-E09-01,書き写し,E09,U0436,copy,評価専用
COPY-E09-02,書き写し,E09,U0743,copy,評価専用
COPY-E09-03,書き写し,E09,U0522,copy,評価専用
COPY-E09-04,書き写し,E09,U0348,copy,評価専用
COPY-E09-05,書き写し,E09,U0797,copy,評価専用
COPY-E09-06,書き写し,E09,U0470,copy,評価専用
COPY-E09-07,書き写し,E09,U0651,copy,評価専用
COPY-E09-08,書き写し,E09,U0314,copy,評価専用
COPY-E09-09,書き写し,E09,U0708,copy,評価専用
COPY-E09-10,書き写し,E09,U0230,copy,評価専用
COPY-E09-11,書き写し,E09,U0669,copy,評価専用
COPY-E09-12,書き写し,E09,U0579,copy,評価専用
COPY-E09-13,書き写し,E09,U0509,copy,評価専用
COPY-E09-14,書き写し,E09,U0300,copy,評価専用
COPY-E09-15,書き写し,E09,U0368,copy,評価専用
COPY-E10-01,書き写し,E10,U0543,copy,評価専用
COPY-E10-02,書き写し,E10,U0461,copy,評価専用
COPY-E10-03,書き写し,E10,U0025,copy,評価専用
COPY-E10-04,書き写し,E10,U0462,copy,評価専用
COPY-E10-05,書き写し,E10,U0389,copy,評価専用
COPY-E10-06,書き写し,E10,U0815,copy,評価専用
COPY-E10-07,書き写し,E10,U0527,copy,評価専用
COPY-E10-08,書き写し,E10,U0642,copy,評価専用
COPY-E10-09,書き写し,E10,U0445,copy,評価専用
COPY-E10-10,書き写し,E10,U0149,copy,評価専用
COPY-E10-11,書き写し,E10,U0110,copy,評価専用
COPY-E10-12,書き写し,E10,U0042,copy,評価専用
COPY-E10-13,書き写し,E10,U0550,copy,評価専用
COPY-E10-14,書き写し,E10,U0029,copy,評価専用
COPY-E10-15,書き写し,E10,U0540,copy,評価専用
COPY-E11-01,書き写し,E11,U0650,copy,評価専用
COPY-E11-02,書き写し,E11,U0851,copy,評価専用
COPY-E11-03,書き写し,E11,U0900,copy,評価専用
COPY-E11-04,書き写し,E11,U0408,copy,評価専用
COPY-E11-05,書き写し,E11,U0121,copy,評価専用
COPY-E11-06,書き写し,E11,U0441,copy,評価専用
COPY-E11-07,書き写し,E11,U0796,copy,評価専用
COPY-E11-08,書き写し,E11,U0898,copy,評価専用
COPY-E11-09,書き写し,E11,U0114,copy,評価専用
COPY-E11-10,書き写し,E11,U0335,copy,評価専用
COPY-E11-11,書き写し,E11,U0210,copy,評価専用
COPY-E11-12,書き写し,E11,U0761,copy,評価専用
COPY-E11-13,書き写し,E11,U0532,copy,評価専用
COPY-E11-14,書き写し,E11,U0481,copy,評価専用
COPY-E11-15,書き写し,E11,U0832,copy,評価専用
COPY-E12-01,書き写し,E12,U0310,copy,評価専用
COPY-E12-02,書き写し,E12,U0327,copy,評価専用
COPY-E12-03,書き写し,E12,U0747,copy,評価専用
COPY-E12-04,書き写し,E12,U0871,copy,評価専用
COPY-E12-05,書き写し,E12,U0682,copy,評価専用
COPY-E12-06,書き写し,E12,U0219,copy,評価専用
COPY-E12-07,書き写し,E12,U0394,copy,評価専用
COPY-E12-08,書き写し,E12,U0587,copy,評価専用
COPY-E12-09,書き写し,E12,U0118,copy,評価専用
COPY-E12-10,書き写し,E12,U0052,copy,評価専用
COPY-E12-11,書き写し,E12,U0398,copy,評価専用
COPY-E12-12,書き写し,E12,U0017,copy,評価専用
COPY-E12-13,書き写し,E12,U0378,copy,評価専用
COPY-E12-14,書き写し,E12,U0087,copy,評価専用
COPY-E12-15,書き写し,E12,U0836,copy,評価専用
COPY-E13-01,書き写し,E13,U0595,copy,評価専用
